brand,sport,sponsorship_type,sponsorship_tier,region,year,spend_million_usd
Nike,Basketball,Team Sponsorship,Platinum,West,2024,125.5
Adidas,Soccer,League Sponsorship,Platinum,Northeast,2024,110.2
Puma,Track & Field,Event Sponsorship,Gold,Midwest,2024,45.3
Under Armour,American Football,Athlete Endorsement,Gold,South,2024,55.7
Red Bull,Extreme Sports,Event Sponsorship,Platinum,West,2024,200.4
Monster,Motor Racing,Team Sponsorship,Gold,South,2024,72.9
Heineken,Soccer,Event Sponsorship,Platinum,Northeast,2024,95.8
Coors,Baseball,Team Sponsorship,Silver,Midwest,2024,30.2
MyProtein,Fitness,Event Sponsorship,Gold,South,2024,38.4
Pepsi,American Football,League Sponsorship,Platinum,West,2024,180.1
